Amount,Details,TransactionDate
40.73,Bp Connect Southern    Dunedin       Nz ,7/12/21
184.45,Energy Online Limited  093612154     Nz ,7/12/21
52.38,Countdown Online       Auckland      Nz ,7/12/21
63.97,Mitre 10 Mega Dunedin  Dunedin       Nz ,4/12/21
34,Side-On                Dunedin       Nz ,4/12/21
19.99,Hallensteins 50 Hbl    Dunedin       Nz ,4/12/21
35.2,Countdown Dunedin Ctr  Dunedin       Nz ,4/12/21
25.99,Liquorland Anderson Ba Dunedin       Nz ,4/12/21
7.5,Countdown Dunedin Ctr  Dunedin       Nz ,4/12/21
16.97,Uber   *Trip           Help.Uber.Com Nz ,4/12/21
11.33,Uber   *Trip           Amsterdam     Nz ,4/12/21
37.96,Bin Inn Foodmarket     Dunedin       Nz ,3/12/21
22.5,Hell Pizza Dunedin S   Dunedin       Nz ,3/12/21
8.65,Patreon* Membership    Internet      Ie ,3/12/21
3.77,Google  Gsuite_Phyxphy Auckland      Nz ,2/12/21
20.72,New World Centre City  Dunedin       Nz ,2/12/21
32.3,Velvet Burger          Dunedin       Nz ,30/11/21
3757.24,Direct Debit Payment - Thank You ,29/11/21
156.12,Countdown Online       Auckland      Nz ,29/11/21
156.99,Farmers Online         Auckland      Nz ,29/11/21
49.67,Yogijis Food Mart      North Dunedin Nz ,28/11/21
20,Macpac                 Dunedin       Nz ,28/11/21
44.48,Farmers                Dunedin       Nz ,28/11/21
52.41,Nichol'S Garden Cent   Dunedin       Nz ,27/11/21
54.28,New World Centre City  Dunedin       Nz ,25/11/21
22.5,Coffee Culture Roslyn  Dunedin       Nz ,25/11/21
10,2Degrees Mobile        Auckland      Nz ,24/11/21
15.48,New World Centre City  Dunedin       Nz ,24/11/21
75.01,Countdown Online       Auckland      Nz ,23/11/21
59.4,Pak N Save Dunedin     Sth Dunedin   Nz ,20/11/21
19.59,Countdown Dunedin Ctr  Dunedin       Nz ,19/11/21
47.98,Caversham Liqour       Caversham     Nz ,19/11/21
20,Bee Card Scheme        Dunedin       Nz ,18/11/21
26,Amazon                 Dunedin       Nz ,18/11/21
49.42,New World Centre City  Dunedin       Nz ,17/11/21
102.77,Countdown Online       Auckland      Nz ,16/11/21
17.8,Countdown Dunedin Ctr  Dunedin       Nz ,13/11/21
73.48,Bp Connect Southern    Dunedin       Nz ,13/11/21
30.89,Delvreasy* O4299133    Wellington    Nz ,13/11/21
7.8,Bin Inn Foodmarket     Dunedin       Nz ,12/11/21
13.2,Countdown Dunedin Ctr  Dunedin       Nz ,11/11/21
4.99,Apple.Com/Bill         Sydney        Au ,10/11/21
34.51,New World Centre City  Dunedin       Nz ,9/11/21
3.4,Rob Roy Dairy          Dunedin       Nz ,9/11/21
175.45,Energy Online Limited  093612154     Nz ,8/11/21
84.24,Countdown Online       Auckland      Nz ,8/11/21
32.05,Bin Inn Foodmarket     Dunedin       Nz ,6/11/21
38.99,Delvreasy* O4232752    Wellington    Nz ,5/11/21
15.3,Subway George St       Dunedin       Nz ,4/11/21
42.1,Bp Connect Southern    Dunedin       Nz ,3/11/21
9.86,Google  Gsuite_Phyxphy Auckland      Nz ,2/11/21
23.98,Macpac                 Dunedin       Nz ,2/11/21
62.16,Countdown Online       Auckland      Nz ,2/11/21
67,Kmart Online           Auckland      Nz ,31/10/21
35.5,Redstar Bb* Online     Wanaka        Nz ,30/10/21
7.99,Liquorland Wanaka      Wanaka        Nz ,30/10/21
40,Bp 2Go Cromwell        Cromwell      Nz ,30/10/21
49.02,Caltex Milton          Milton        Nz ,29/10/21
3.8,Teviot Tearooms        Roxburgh      Nz ,29/10/21
70.62,Countdown Online       Auckland      Nz ,29/10/21
773.41,Direct Debit Payment - Thank You ,28/10/21
62.08,Bin Inn Foodmarket     Dunedin       Nz ,28/10/21
121.17,Countdown Online       Auckland      Nz ,27/10/21
16.5,Countdown Dunedin Ctr  Dunedin       Nz ,27/10/21
10,2Degrees Mobile        Auckland      Nz ,24/10/21
26.5,Hell Pizza Dunedin S   Dunedin       Nz ,24/10/21
10.4,Night N Day Caversha   Dunedin       Nz ,23/10/21
6.3,Emerson'S Brewery      Dunedin       Nz ,22/10/21
50.7,Pak N Save Dunedin     Sth Dunedin   Nz ,22/10/21
30,Pak N Save Dunedin Fue Dunedin       Nz ,22/10/21
42.99,Caversham Liqour       Caversham     Nz ,22/10/21
53.64,Countdown Online       Auckland      Nz ,20/10/21
40.99,Bp 2Go Gore            Gore          Nz ,18/10/21
59.15,Npd Frankton           Frankton      Nz ,17/10/21
30,Doc Te Anau            Te Anau       Nz ,17/10/21
14.97,New World Wanaka       Wanaka        Nz ,16/10/21
18,Burrito Craft          Wanaka        Nz ,16/10/21
7.5,Cardrona Alpine Resort Wanaka        Nz ,16/10/21
12,Cardrona               Wanaka        Nz ,16/10/21
21.5,Cinema Paradiso Ltd    Wanaka        Nz ,16/10/21
33,Cinema Paradiso Ltd    Wanaka        Nz ,16/10/21
9.48,New World Centre City  Dunedin       Nz ,15/10/21
36.5,Thai Siam              Wanaka        Nz ,15/10/21
99.19,Countdown Online       Auckland      Nz ,15/10/21
17.78,Countdown Dunedin Ctr  Dunedin       Nz ,14/10/21
71.82,Bp Connect Southern    Dunedin       Nz ,14/10/21
70.95,Countdown Online       Auckland      Nz ,12/10/21
1600,Harvey Norman          Dunedin       Nz ,11/10/21
30,Department Of Conserva Te Aro        Nz ,10/10/21
4.99,Apple.Com/Bill         Sydney        Au ,10/10/21
46.38,Freshchoice Green Is   Green Island  Nz ,10/10/21
60.28,New World Centre City  Dunedin       Nz ,9/10/21
28,Beam Me Up Bagels Cy   Dunedin       Nz ,9/10/21
9.99,Countdown Dunedin Ctr  Dunedin       Nz ,9/10/21
31.79,New World Centre City  Dunedin       Nz ,8/10/21
41,India Garden Restauran Dunedin       Nz ,8/10/21
61.56,Bin Inn Foodmarket     Dunedin       Nz ,7/10/21
68,Jb Hi-Fi               Dunedin       Nz ,7/10/21
74.86,Energy Online Limited  093612154     Nz ,7/10/21
6.95,New World Centre City  Dunedin       Nz ,5/10/21
75.97,Mitre 10 Mega Dunedin  Dunedin       Nz ,5/10/21
102.68,Countdown Online       Auckland      Nz ,5/10/21
42.7,Waihola Fresh Fish     Waihola       Nz ,3/10/21
60,Account Fee ,3/10/21
47.11,Caltex Milton          Milton        Nz ,2/10/21
9.3,New World Balclutha    Balclutha     Nz ,2/10/21
10.17,Google  Gsuite_Phyxphy Auckland      Nz ,2/10/21
41.99,Henry'S Centre City    Dunedin       Nz ,1/10/21
30.34,Mister Minit Meridia   Dunedin       Nz ,1/10/21
63.05,New World Centre City  Dunedin       Nz ,1/10/21
10,Plaza Dunedin          Dunedin       Nz ,29/09/21
74.79,Pak N Save Dunedin     Sth Dunedin   Nz ,28/09/21
139.78,Countdown Online       Auckland      Nz ,27/09/21
20,Turkish Kitchen        Mosgiel       Nz ,26/09/21
56.72,Mitre 10 Mosgiel       Mosgiel       Nz ,26/09/21
83.98,The Warehouse 183      Sth Dunedin   Nz ,25/09/21
44.79,Bp Connect Southern    Dunedin       Nz ,25/09/21
9.45,Bunnings - 9515        Dunedin       Nz ,22/09/21
42.95,Bunnings - 9515        Dunedin       Nz ,22/09/21
167.9,Sp * Scapegrace        Auckland      Nz ,22/09/21
